,X.MI,Y.MI,Z.MI,A.MI,C.MI,E.MI,D.MI,G.MI,I.MI,M.MI,P.MI,R.MI,S.MI,T.MI,U.MI
2019-07-02,0.00745,0.0,0.00539,-0.0091,0.03876,0.02164,-0.00975,0.00809,0.00927,0.01133,0.02373,0.01379,0.00283,-0.00936,-0.01075
2019-07-03,0.00555,0.00222,0.02276,0.00614,-0.02308,0.02337,0.00482,0.01774,0.04957,0.02574,0.02339,0.01731,0.01355,0.02865,0.05424
2019-07-04,0.00115,0.00221,0.00822,0.00367,0.03442,0.00607,0.00534,0.00205,0.02256,0.01962,0.00617,-0.0027,0.00093,0.01212,0.04837
2019-07-05,-0.003,0.00442,-0.01047,-0.00694,0.01122,-0.00732,-0.00658,-0.00498,0.00296,-0.00487,-0.0037,-0.00609,-0.00978,-0.00382,-0.01205
2019-07-08,0.00438,0.0022,-0.0015,-0.00688,0.03291,0.00156,0.00712,0.00586,-0.00716,-0.00895,-0.00144,0.00677,-0.00047,-0.00728,-0.01782
2019-07-09,0.00253,-0.01774,-0.00832,-0.01579,-0.03663,-0.00016,-0.00712,0.00292,-0.00547,-0.00322,-0.00475,-0.00778,-0.02178,-0.00122,0.00317
2019-07-10,-0.00529,0.02431,0.00982,-0.01456,-0.03031,0.00265,0.01066,0.00262,0.01214,0.00941,0.00969,0.00846,-0.00096,0.00567,0.00718
2019-07-11,-0.00185,0.0,0.006,-0.01186,-0.0155,0.01299,0.00637,-0.00029,0.01199,-0.0017,-0.0099,-0.00371,0.00144,0.00101,0.01145
2019-07-12,-0.00301,-0.00219,-0.0015,-0.00669,-0.02372,-0.0091,0.00176,-0.00408,-0.00219,0.00085,0.00062,0.00101,0.00525,0.01184,-0.00484
2019-07-15,0.00923,-0.00659,0.00746,0.0069,0.00399,0.00634,-0.00772,0.00204,-0.00122,-0.00748,0.00434,0.00875,-0.00717,0.00259,-0.00888
2019-07-16,0.00229,0.0,0.00445,0.0075,0.03138,-0.00634,-0.00313,-0.00029,0.00657,0.01067,-0.0087,0.01331,0.00478,0.00159,0.02572
2019-07-17,-0.00597,-0.00442,-0.00966,-0.0131,-0.0274,0.00956,-0.01733,-0.00584,-0.00926,-0.00532,-0.00312,-0.0063,-0.00095,0.00298,-0.01304
2019-07-18,-0.00578,-0.00666,0.0,-0.01668,-0.016,0.00704,-0.00794,0.00088,0.00342,0.00256,-0.00209,-0.00534,0.00714,0.00237,0.00585
2019-07-19,-0.00186,-0.02025,-0.01127,-0.00055,-0.04537,-0.0422,-0.00561,-0.01059,-0.0207,-0.02108,-0.01751,-0.00604,-0.00809,-0.03009,-0.03725
2019-07-22,-0.00489,0.02025,-0.00378,0.00985,0.01258,0.02013,0.00673,0.00295,0.00174,0.00477,0.00446,0.00436,0.00524,-0.00122,-0.00339
2019-07-23,0.01044,-0.00895,-0.00076,0.05137,-0.00837,0.00016,0.00516,-0.00118,0.01162,0.01097,-0.00637,0.01132,-0.00524,0.01055,0.02611
2019-07-24,-0.00556,0.00672,0.00605,0.02149,0.0,0.00889,0.00167,0.00383,0.0,-0.0045,0.00192,-0.00664,0.00334,0.00543,-0.00314
2019-07-25,-0.01238,0.00223,-0.00605,-0.02253,-0.01695,-0.0132,-0.00445,-0.00679,-0.0074,0.00064,0.00784,-0.00669,0.00143,-0.00301,-0.0007
2019-07-26,0.00047,-0.00895,0.00152,0.00135,0.00426,-0.00594,-0.00084,0.00178,-0.00496,0.00215,-0.0072,-0.00302,0.0019,0.03965,-0.00755
2019-07-29,-0.00047,0.0,0.0,-0.00031,0.0,0.00578,-0.0063,0.00236,-0.0094,-0.00215,0.01916,-0.00642,-0.00285,0.01345,-0.02841
2019-07-30,-0.01635,-0.00676,-0.02299,-0.02366,0.00847,-0.0124,-0.01087,-0.01426,-0.01274,-0.02413,-0.02642,-0.0233,-0.0202,-0.03535,-0.03279
2019-07-31,0.00572,0.02679,0.00232,0.00042,0.01258,0.00485,0.00777,0.00775,-0.00285,-0.00375,0.0339,0.01001,-0.0812,0.00945,-0.00225
2019-08-01,0.00119,-0.01778,0.03794,-0.01139,-0.01258,0.00659,-0.00763,0.00089,0.02,0.00154,0.00989,0.02542,-0.00502,0.00371,0.0015
2019-08-02,-0.02232,0.01336,-0.00822,-0.02681,-0.01702,-0.00675,-0.02996,-0.01434,-0.02399,-0.0187,-0.01175,-0.04448,-0.02006,-0.02549,-0.02601
2019-08-05,-0.01639,0.0,-0.01361,-0.02936,0.02543,-0.01201,-0.01473,-0.01059,0.00775,-0.00722,-0.0161,-0.01445,-0.01607,-0.02288,-0.00328
2019-08-06,-0.00892,-0.00889,-0.00305,-0.02002,0.0,0.00163,-0.00715,-0.00641,-0.01186,-0.00887,-0.01594,-0.02008,-0.0011,-0.01009,-0.00853
2019-08-07,-0.0086,-0.00223,0.00305,0.00507,-0.01263,0.0,-0.0143,-0.00153,-0.01795,-0.01125,0.0153,0.01617,-0.00055,-0.00373,-0.0507
